Subcorpus	Filename	Year data collection	Sex	Age	School/University/Institution	Major	Year at university/school	L1	Variety of native language (country)	Father's native language	Mother's native language	Languages spoken at home	Any foreign language?	Foreign language	Proficiency (self-assessment) in foreign language speaking	Proficiency (self-assessment) in foreign language listening	Proficiency (self-assessment) in foreign language reading	Proficiency (self-assessment) in foreign language writing	Proficiency (self-assessment)	Additional foreign language(s)	Proficiency (self-assessment) in additional language speaking	Proficiency (self-assessment) in additional language listening	Proficiency (self-assessment) in additional language reading	Proficiency (self-assessment) in additional language writing	Medium	Task number	Task title	Writing/audio details	Minutes taken to complete the task	Resources used	Text	Original text
Native	EN_WR_19_14_AM	2017	Female	19	UCLA	""	2nd	English	American English	English	Arabic	English	Yes	Arabic	B1 (lower intermediate)	C1 (lower advanced)	C2 (upper advanced)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	Chaplin finds an abandoned baby on the side of the road. He picks it up, and when a woman with a carriage passes by, he assumes that she had dropped her baby and offers it to her, which makes her angry and he realizes that she has another baby and that this is not hers. Later, a street officer walks by and appears suspicious, so Chaplin picks up the baby as if it is his and walks along so as to let the officer leave. Chaplin finds an old man walking on a cane and gives him the baby and runs. Later, Chaplin sits with the baby and finds a note indicating that the baby is an orphan and needs someone to love and care for it and he decides to do just that.	
Native	EN_WR_19_14_AT	2017	Female	19	UCLA	Linguistics	2	English	American English	English	English	English	Yes	German	B2 (upper intermediate)	C1 (lower advanced)	C1 (lower advanced)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	9	""	Chaplin is walking along an alleyway and having garbage dropped on his head. He resigns himself to it without protest and lights a cigarette from his tin when he spots a child abandoned in the corner. At first, he glances up, as if to comedically suggest the child was dropped with the trash. Having a conscience but no desire to adopt the child, he attempts to return it to a woman pushing around another infant in a stroller. Unfortunately, she angrily resists this event as the child is not hers. He decides to return the child to the spot where he found it, but a police officer has come up behind him and made it exceedingly awkward to appear to abandon his infant. He ends up passing the kid to a man on the street and running away, but the man somehow manages to deposit the child into the same basket as the woman from before. As Chaplin paces past, she assaults him with an umbrella. To make matters worse for him, the police man returns to the scene, and he is forced to retrieve the displaced infant. Chaplin sits on the edge of the sidewalk, temporarily defeated, and considers dropping the child into the gutter. He shakes his head and checks instead for a note within its blankets that reads, “Please love and care for this orphan child.” An affectionate smile now on his face, Chaplin executes his trademark waddle into the background as the film ends.	
Native	EN_WR_19_14_CM	2018	Male	19	Northwestern Universtiy	Economics	Sophomore	English	American English	English	English	English	Yes	Spanish	B2 (upper intermediate)	B1 (lower intermediate)	C1 (lower advanced)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	A man dressed in a suit and a top hat walks down a dirty street, smoking a cigar. There appears to be some construction going on because there are pieces of rubble flying down from above him. Some of this rubble lands on him, causing him to lose his cigar at which point he stops, takes out another, and lights it, continuing on his way. Suddenly he sees a baby on the ground, alone, all bundled in blankets. He picks up the baby and looks around to see where it may have come from. He sees a lady with a baby of her own, and he asks her if she forgot something. She is very angry with him, indicating that it is clearly not her baby. The first man then sees another man, who he tricks into holding the baby while he ties his shoe, at which point he immediately runs away. Eventually, the first man ends up with the baby again. He sits down on the side of the road and opens up the baby's blankets, finding a note hidden within. The note asks that the finder of the baby take care of this orphan, at which point it appears that he decides to do exactly that.	
Native	EN_WR_19_14_HT	2017	Female	19	UCLA	Communications	Second	English	American English	English	Luxembourgish	English	Yes	Spanish	A2 (upper beginner)	B1 (lower intermediate)	B1 (lower intermediate)	B1 (lower intermediate)	6 / 6	Mandarin Chinese	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	14	14. Chaplin	written_online	""	""	Charlie Chaplin stopped to smoke a hand rolled cigarette when he found a baby laying in an alleyway. He tried to give a the baby to those who passed by including a woman pushing her own child in a baby stroller and then an old man with a cane. He even tried to put the baby back in the alley when a police officer saw him, causing him to pick the child back up. He eventually found a letter with the child asking for somebody to please love the orphaned child. He then quit trying to pass her off and walked away with her himself.	
Native	EN_WR_19_14_MK	2016	Female	19	Pitzer College	Psychology	Second	English	American English	English	English	English	Yes	Spanish	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	""	""	"The scene starts with a man in a round hat walking down the street with a small mustache, a cane, and a cigar. People are throwing things out their windows, like trash. He gets hit by some and is frazzled. He grabs a tin from his pocket and grabs a new cigar and lights it with a match from his coat using the bottom of his shoe. He continues walking and finds a baby on the ground next to some trash cans. He looks around confused and picks up the baby. He sees a lady walk by a little ways down the street pushing a stroller. He runs up to her and puts the baby in the stroller saying ""Pardon me, you dropped something"". The lady gets mad and flails and yells at the man as though it's not her child. He begins to franticly take the child back, first mistakenly grabbing her child and then taking the one he gave her. He walked away and tried to put the baby back where he found it but is being watched by an officer and decides to pick the baby back up and continue walking. He then gives the baby to the first person he sees on the street, an old man with a cane. He places the baby in his arms and then runs. The old man tries to chase after him but then doesn't know what to do. The original man runs back to where he found the baby and hides in a shed nearby, again running into the officer so he then tries to walk away casually. The old man now with the baby comes across an unattended stroller with a child in it, the same one the original man had just tried to put the baby in, and leaves the child in there and bolts. The lady comes out of the store to find the strange baby back in her stroller. The original guy happens to be strolling by at this time and out of anger she grabs her closed umbrella and starts beating him. She forces him to take the baby back so he does. He ends up sitting on the curb with the baby in his lap. He is sitting next to a storm drain that he opens, thinking about putting the baby in there but then closes the grate and continues holding the baby. As he is doing so he pricks his finger on something and finds a note attached to the baby's clothes. He opens it up and it reads ""Please love and care for this orphan child"". As he reads this he smiles, puts the note back not he baby, and stands up to happily walk away with the child."	
Native	EN_WR_19_14_PG	2018	Male	19	Central College	Biochemistry, Spanish	sophomore	English	American English	Spanish, English	Spanish, English	English	Yes	""	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B1 (lower intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	15	""	In the film, Chaplin was minding his business when he found a baby in the alley. He didn't know what to do but when he saw a women with a carriage, he thought it was hers and gave it back. It wasn't the women's baby and so he had to take it back. He then tried to put the baby back where he found it but then a police officer showed up so he picked up the baby and kept walking. While walking he saw another man and asked him to hold the baby. He ran away and the man was startled and went looking for him with the baby. The man walked past the same lady from earlier with the carriage and put the baby in it and left. Then Chaplin happened to be walking right past the carriage the the lady came out and she thought that he put the baby in the carriage again. So, he took the baby back because the police officer showed up. Then he sat down with the baby on a curb and thought about putting it in the sewer. While sitting with the baby he read a note that said the baby was an orphan. Finally, he decided to walk away with the baby.	
Native	EN_WR_19_14_SC	2018	Female	19	Central College	Pre-Nursing, Psychology, Religion, Spanish	sophomore	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	14	14. Chaplin	written_online	5	""	A man is walking down an unpaved street. Things are being thrown from the windows. The road is cluttered and hazardous. He gets hit with trash, a mixture of dirt and rock, that was thrown from the window of an overhead apartment. He then sighs and smokes a cigarette. Shortly after he sees a baby abandoned on the side of the hazardous street. He quickly picks up the baby, as he turns around he spots a mother with a stroller. He mistakenly thinks that the baby most be hers and puts the baby in the stroller while the mother is in the store. However, when she comes back from the story she becomes very angry and tells him to take the baby back. He does and then tries to return the baby to where he found it. However, he sets the baby down in the sight of a police officer who assumes that the man is abandoning the baby. The man quickly picks the baby up again. Multiple attempts of the man trying to get rid of the baby ensues. The man tries to pass the baby off to another man, who then puts the baby in the same stroller as the woman before. The man who originally has the baby walks past the mother who thinks he has once again set the baby in her stroller. The mother attacks the man who originally had the baby with an umbrella. He claims the baby once again. After walking with the baby for some time, the man sits down with the baby on a curb. For a split second he considers putting the baby into the sewer. He doesn't think he can handle the burden of a baby. However, he finds a note on the baby with a written request that whoever finds the baby loves and cares for it. The note changes his mind completely and he decides to care for the baby.	
Native	EN_WR_19_2_AL	2017	Female	19	Gettysburg College	Health Sciences	Freshman	English	American English	English	English	English	Yes	Spanish	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	A2 (upper beginner)	6 / 6	Scottish Gaelic	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	Written	2	2. Famous person	written_online	5	""	Jesus Christ is a famous person. Many people across the entire world know his name. Jesus lived over 2,000 years ago and has a few chapters in the world's best selling book about him. Yes, that book is the Bible. I think that Jesus is one of the most inspiring people in all of history. He literally did nothing wrong while he was alive and then was murdered in one of the worst possible ways. His example is so against anything that comes natural to humans. We believe that one should be punished for wrong-doings, but rewarded for doing what is right. Jesus did everything that was right and even laid down his life for all of mankind. That is crazy. That is inspiring. That is love.	
Native	EN_WR_19_3_AMW	2016	Female	19	Whitman College	Psychology	2	English	American English	English	English	English	Yes	Spanish	B1 (lower intermediate)	B1 (lower intermediate)	B2 (upper intermediate)	B2 (upper intermediate)	6 / 6	""	""	""	""	""	Written	3	3. Film	written_online	""	""	Recently I watched the movie Fantastic Beasts and where to find them. This film is a spinoff of Harry Potter, and takes place in New York City in the 1920s. The protagonist is Newt, an eccentric yet lovable young wizard who travels to America from Britain to set free a large magical creature that he found. Newt meets Porpetina, a witch who used to work for MACUSA before being fired for a scandal.	
Native	EN_WR_19_3_DL	2016	Female	19	Drexel University	Biomedical Engineering	Junior	English	American English	Hokkien, Mandarin Chinese	Cantonese, Mandarin Chinese	English, Mandarin Chinese	Yes	Mandarin Chinese	A2 (upper beginner)	B1 (lower intermediate)	A1 (lower beginner)	A1 (lower beginner)	6 / 6	Korean	A1 (lower beginner)	A1 (lower beginner)	A2 (upper beginner)	A2 (upper beginner)	Written	3	3. Film	written_online	""	""	"The Prestige is a non-linear narrative that follows two rival stage magicians (Borden and Angier) in the 1800s who constantly seek to one-up each other in creating the best onstage illusion. Chronologically, Borden and Angier begin as assistants to another magician, along with Angier's wife Julia, and at some point a tragic mistake causes Julia to drown in the middle of a magic act - a tragic mistake that Angier blames Borden for. After some years, Borden and Angier have both established their own acts, but they also both manage to sabotage the other in some way.  <br/> Borden has a trick he calls 'The Transported Man', and Angier eventually steals the trick by using a double, but being dissatisfied, he sends his assistant Olivia to work for Borden and spy on him. She gives Angier Borden's ciphered diary, but remains with Borden, having fallen in love with him.  <br/> Angier goes to meet Nikola Tesla and ask him to build the machine that the diary says Tesla built for Borden, as the secret for The Transported Man. The end of the diary confesses that Tesla never built a machine for Borden, but Tesla manages to build a replicating machine for Angier anyway, which Angier uses to revamp his magic show with a ""new"" Transported Man that's far more impressive than Borden's original.  <br/> Borden's wife commits suicide, and Olivia leaves him as well, due to his increasingly erratic nature. Borden himself is frustrated by Angier's success and sneaks backstage at one show; to his horror, Angier plunges down through a trapdoor into a waiting water tank and drowns, and Borden is eventually tried and hanged for murdering Angier.  <br/> Right before Borden is hanged, Angier shows up at the prison, alive - he's finally gotten revenge for Julia's death, and he takes away Borden's daughter. Angier's old stage engineer finds out about the replicating machine and realizes that for his Transported Man trick, Angier has been drowning himself over and over and creating clones that appear elsewhere. After Borden dies, a mysterious man shows up and shoots Angier and it turns out to also be Borden, who has actually been twins living as a singular man this whole time."	
Native	EN_WR_19_3_MK	2016	Female	19	Pitzer College	Psychology	Second	English	American English	English	English	English	Yes	Spanish	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	A1 (lower beginner)	6 / 6	""	""	""	""	""	Written	3	3. Film	written_online	""	""	I recently watched Picture This. It's a movie about a high school girl named Mandy who is kind of a nerd, an outsider at her very rich and fancy school. Most of the students are beautiful and live in a gated community and it seems like her and her two friends are the only ones that don't. She has a crush on this guy named Drew but he is dating this other blonde girl who is the queen of the school. She joins the swim team to try to get his attention as the boys and girls teams practice near each other. While doing so, she hits her head and falls in the pool unconscious. Drew saves her life with CPR and mouth to mouth and she swoons over the situation. The next day the blond girlfriend Lisa comes to the pet store where Mandy works and tries to make her seem embarrassed for working there in front of Drew who she brought along. Mandy thanks Drew for saving her life again and they begin talking and set a time to meet again. They hit things off when they meet in the park but Lisa is furious. All the while, at home, Mandy has an overbearing father who is much too overprotective of his 18 year old daughter. When he finds out that she wasn't where she told him she was going to be after school and was actually with a boy, he's furious and grounds her. Terrible timing because Drew invites her to his big party that night, but she tells him she's going. She tells her dad that she's going to her friends house to study and he allows it but tells her that he will call on her new video phone every half hour. So while Mandy and her friends are out at the mall buying clothes for the party she has to trick her dad into thinking that she's still in the house. While doing all of this Lisa is trying to sabotage her chances and does everything she can think of to stop her from going to the party. Despite all of this she makes it to the party and dances with Drew but goes up to the tower where supposedly he takes a girl every year at this party. Uncomfortable and embarrassed she ends up leaving him in the tower. But later at prom he sees her while he is being crowned prom king and brings her on stage to be his queen and kisses her.	
Native	EN_WR_19_3_SCJ	2016	Female	19	University of Iowa	International Relations	Junior	English	American English	English	English	English	Yes	Spanish	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	C1 (lower advanced)	6 / 6	Arabic	A2 (upper beginner)	A2 (upper beginner)	B1 (lower intermediate)	A2 (upper beginner)	Written	3	3. Film	written_online	""	""	The main character, Belle goes on an adventure to find her father who went missing. The story starts out in a small town in France with a young lady named Belle and her father, an inventor. Belle's father leaves for the week to sell some of his invetions but went missing. Belle goes after her father and looks for him in a scary castle. The castle is home to a man who is turned into a beast by a witch. The beast captures Belle and they fall in love. At the end Belle's father is rescued and the beast is turned back into a man.	
Native	EN_SP_20_14_AB	2018	Female	20	Central College	Biology and Spanish	Junior	English	American English	English	English	English	Yes	Spanish	A2 (upper beginner)	B2 (upper intermediate)	A2 (upper beginner)	A2 (upper beginner)	6 / 6	""	""	""	""	""	Spoken	14	14. Chaplin	spoken_offline_lab	5	""	ok so / this / is / a video / of / Charlie Chaplin and / he / is might just be at the wrong place / at the wrong time every single time / he / is walking / and he / comes across this baby and a blanket by the dumpster / and / for us / I guess we would assume that it's just an orphan child or someone left the baby / uh but the title of the video is awkward as so I guess he / really didn't pick up that social cue / so / as he comes across the baby he picks it up / and / he sees that / a woman has come by with her carriage and seems to have a space for two babies / so he's like oh this lady has lost her baby and so he puts the baby in the cart and the lady / gets angry because clearly it's not her baby / and she gets mad at him so he takes the baby out / and he / wants to put it back where he found it cause clearly that was not the wrong spot / and then a police man shows up / and / the police man / is / watching over / Charlie / and Charlie realizes that he can't just / leave the baby / where / he found it / and so / then he picks up the baby because / now he is in charge of this baby that he's found / and he / obviously doesn't want the baby because he walks around / uh in a hurry trying to figure out what to do with it and so he sees a man / and he tricks the man / into taking the baby / and so as the man has the baby he comes across the same woman with the baby carriage that seems to have a space for two babies / and the man / puts the baby in the baby carriage / but / as he walks away / Charlie then comes by and the lady recognizes Charlie as the one who originally put the baby in the baby carriage / and so / the lady / then spots Charlie / walking and / she again gets mad at him / and so / the police man then comes by once again / at the wrong time / and Charlie seems to be there at the wrong place at the wrong time and the police man watches over and so / Charlie once again has to take the baby / and so / now he feels like he's all out of options so / he / sits down on the curb side / and / sees that there's a note with the baby / and it says / please care for this orphan child / so / it seems as though / once he saw this note / that said the child was an orphan child / he flipped the switch and was like oh this child has nobody I must care for it / whereas before / the child / just seemed to be lost / and so he had to care for this / find a home for this lost baby / but / it turns out it's an orphan child but what's interesting is that the police man / wasn't really doing anything he was just standing / and watching and / not making an efford to / find the owner or a home for this baby it was all up to Charlie Chaplin so / the video ends and we don't know / what happens / after / but it appears that / Charlie must care for this baby / I wonder if there's a sequel	
